연도,시도명,방문자수_명,방문자수_성장률_%,관광지출액_원,관광지출액_성장률_%
2023,서울특별시,587266491.0,,49443425101.0,
2023,부산광역시,148044554.0,,10204706422.0,
2023,제주특별자치도,60629072.0,,3291322503.0,
2024,서울특별시,595780850.0,1.4498288478032695,51168079942.0,3.4881378817850583
2024,부산광역시,150240038.0,1.4829886954166538,10380436605.0,1.722050353365856
2024,제주특별자치도,57928874.0,-4.453635707965309,3228735886.0,-1.901564399810507
2025,서울특별시,523558150.0,-12.122360092641449,40321581448.0,-21.197782887876027
2025,부산광역시,135312184.0,-9.936002545473265,8664642636.0,-16.52911177332892
2025,제주특별자치도,49374745.0,-14.76660671843889,2380915025.0,-26.25860060825056
