시도명,검색건수,전년도 검색건수
서울특별시,72034030,67722057
부산광역시,24750188,22744271
대구광역시,13861964,11886625
인천광역시,31973802,27941448
광주광역시,7283308,6225820
대전광역시,10641896,9301188
울산광역시,6534737,6117879
세종특별자치시,2986338,2879009
경기도,142220534,132261915
강원특별자치도,33860464,34958775
충청북도,15127066,14145314
충청남도,23479590,22344951
전북특별자치도,12928722,12019175
전라남도,15830714,14807091
경상북도,21140489,20636308
경상남도,22135627,21351526
제주특별자치도,15022097,19970558
