기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202401,22794.0,23822.0,-4.3,12905.0,13191.0,-2.2
202402,24052.0,21561.0,11.6,12911.0,12306.0,4.9
202403,26931.0,26148.0,3.0,14462.0,13808.0,4.7
202404,22584.0,22684.0,-0.4,13898.0,13814.0,0.6
202405,24949.0,24824.0,0.5,14956.0,14478.0,3.3
202406,23462.0,23275.0,0.8,14241.0,13628.0,4.5
202407,24156.0,24847.0,-2.8,13806.0,14095.0,-2.0
202408,25961.0,25609.0,1.4,14622.0,14258.0,2.6
202409,26161.0,26468.0,-1.2,14029.0,14606.0,-3.9
202410,25203.0,25950.0,-2.9,14581.0,14751.0,-1.2
202411,23280.0,22690.0,2.6,14014.0,13650.0,2.7
202412,23154.0,23626.0,-2.0,14540.0,14657.0,-0.8
