시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,345.0,2.62
서울특별시,중구,267.0,2.65
서울특별시,용산구,407.0,2.63
서울특별시,성동구,740.0,2.95
서울특별시,광진구,820.0,2.92
서울특별시,동대문구,1056.0,3.08
서울특별시,중랑구,1249.0,3.03
서울특별시,성북구,1252.0,3.13
서울특별시,강북구,1128.0,2.95
서울특별시,도봉구,1061.0,3.05
서울특별시,노원구,1042.0,3.12
서울특별시,은평구,1494.0,3.07
서울특별시,서대문구,772.0,2.92
서울특별시,마포구,584.0,2.7
서울특별시,양천구,1166.0,3.14
서울특별시,강서구,896.0,2.94
서울특별시,구로구,864.0,3.01
서울특별시,금천구,1124.0,2.97
서울특별시,영등포구,668.0,2.83
서울특별시,동작구,953.0,3.11
서울특별시,관악구,1291.0,2.94
서울특별시,서초구,442.0,2.92
서울특별시,강남구,594.0,2.87
서울특별시,송파구,838.0,2.93
서울특별시,강동구,1353.0,3.11
부산광역시,중구,347.0,2.57
부산광역시,서구,854.0,2.87
부산광역시,동구,403.0,2.64
부산광역시,영도구,874.0,2.91
부산광역시,부산진구,839.0,2.82
부산광역시,동래구,874.0,2.99
부산광역시,남구,1192.0,3.04
부산광역시,북구,1175.0,3.06
부산광역시,해운대구,936.0,2.7
부산광역시,사하구,1408.0,3.11
부산광역시,금정구,1103.0,3.14
부산광역시,강서구,607.0,2.85
부산광역시,연제구,912.0,2.97
부산광역시,수영구,743.0,2.67
부산광역시,사상구,920.0,2.91
부산광역시,기장군,666.0,2.68
대구광역시,중구,421.0,2.62
대구광역시,동구,789.0,2.82
대구광역시,서구,885.0,2.86
대구광역시,남구,884.0,2.92
대구광역시,북구,1198.0,3.0
대구광역시,수성구,1075.0,2.95
대구광역시,달서구,1352.0,3.03
대구광역시,달성군,1124.0,2.99
대구광역시,군위군,567.0,2.48
인천광역시,중구,471.0,2.39
인천광역시,동구,679.0,2.88
인천광역시,미추홀구,1253.0,3.0
인천광역시,연수구,1368.0,3.03
인천광역시,남동구,1053.0,2.93
인천광역시,부평구,1286.0,2.94
인천광역시,계양구,1049.0,2.98
인천광역시,서구,1488.0,3.06
인천광역시,강화군,1185.0,2.45
인천광역시,옹진군,1462.0,2.42
광주광역시,동구,767.0,2.91
광주광역시,서구,884.0,2.84
광주광역시,남구,1475.0,3.13
광주광역시,북구,1372.0,3.07
광주광역시,광산구,1326.0,2.99
대전광역시,동구,916.0,2.83
대전광역시,중구,814.0,2.75
대전광역시,서구,1243.0,2.88
대전광역시,유성구,1270.0,2.89
대전광역시,대덕구,935.0,2.79
울산광역시,중구,1051.0,3.09
울산광역시,남구,1001.0,2.93
울산광역시,동구,1706.0,3.04
울산광역시,북구,1134.0,2.99
울산광역시,울주군,984.0,2.86
세종특별자치시,,2260.0,3.04
경기도,수원시 장안구,872.0,3.01
경기도,수원시 권선구,1074.0,2.99
경기도,수원시 팔달구,604.0,2.64
경기도,수원시 영통구,944.0,3.06
경기도,성남시 수정구,938.0,2.99
경기도,성남시 중원구,1036.0,2.85
경기도,성남시 분당구,902.0,3.1
경기도,의정부시,1408.0,3.03
경기도,안양시 만안구,987.0,2.96
경기도,안양시 동안구,1134.0,3.05
경기도,부천시 원미구,925.0,2.97
