시도명,시군구명,평균 체류시간,평균 숙박일수
경기도,부천시 소사구,964.0,3.06
경기도,부천시 오정구,815.0,3.01
경기도,광명시,815.0,2.99
경기도,평택시,1866.0,3.05
경기도,동두천시,1276.0,2.91
경기도,안산시 상록구,1383.0,3.02
경기도,안산시 단원구,1128.0,2.73
경기도,고양시 덕양구,1000.0,3.05
경기도,고양시 일산동구,877.0,3.01
경기도,고양시 일산서구,911.0,3.02
경기도,과천시,614.0,3.14
경기도,구리시,636.0,2.92
경기도,남양주시,1248.0,2.97
경기도,오산시,1289.0,3.02
경기도,시흥시,1205.0,2.94
경기도,군포시,1199.0,3.05
경기도,의왕시,686.0,2.98
경기도,하남시,809.0,3.05
경기도,용인시 처인구,1206.0,2.83
경기도,용인시 기흥구,1085.0,3.12
경기도,용인시 수지구,1328.0,3.17
경기도,파주시,1395.0,2.98
경기도,이천시,1251.0,2.92
경기도,안성시,1152.0,2.92
경기도,김포시,1314.0,3.03
경기도,화성시,1466.0,2.97
경기도,광주시,1433.0,3.03
경기도,양주시,1202.0,2.91
경기도,포천시,1264.0,2.67
경기도,여주시,988.0,2.71
경기도,연천군,1252.0,2.66
경기도,가평군,975.0,2.3
경기도,양평군,936.0,2.49
충청북도,청주시 상당구,855.0,2.76
충청북도,청주시 서원구,1183.0,3.04
충청북도,청주시 흥덕구,1247.0,2.89
충청북도,청주시 청원구,1207.0,2.92
충청북도,충주시,1586.0,2.76
충청북도,제천시,1695.0,2.6
충청북도,보은군,907.0,2.63
충청북도,옥천군,736.0,2.62
충청북도,영동군,1416.0,2.76
충청북도,증평군,1217.0,2.77
충청북도,진천군,1537.0,2.95
충청북도,괴산군,849.0,2.51
충청북도,음성군,1438.0,2.9
충청북도,단양군,918.0,2.44
충청남도,천안시 동남구,1211.0,2.86
충청남도,천안시 서북구,1543.0,2.88
충청남도,공주시,886.0,2.6
충청남도,보령시,1525.0,2.45
충청남도,아산시,1809.0,3.01
충청남도,서산시,1840.0,2.84
충청남도,논산시,1521.0,2.9
충청남도,계룡시,1575.0,2.93
충청남도,당진시,1657.0,2.86
충청남도,금산군,1079.0,2.71
충청남도,부여군,1195.0,2.64
충청남도,서천군,1087.0,2.65
충청남도,청양군,1535.0,2.74
충청남도,홍성군,1530.0,2.83
충청남도,예산군,1091.0,2.66
충청남도,태안군,1431.0,2.46
전라남도,목포시,1646.0,2.79
전라남도,여수시,2059.0,2.61
전라남도,순천시,1616.0,2.88
전라남도,나주시,1380.0,2.85
전라남도,광양시,1602.0,2.9
전라남도,담양군,590.0,2.48
전라남도,곡성군,1026.0,2.71
전라남도,구례군,958.0,2.53
전라남도,고흥군,1981.0,2.74
전라남도,보성군,1025.0,2.65
전라남도,화순군,994.0,2.76
전라남도,장흥군,1407.0,2.76
전라남도,강진군,1254.0,2.73
전라남도,해남군,1464.0,2.8
전라남도,영암군,1280.0,2.82
전라남도,무안군,1230.0,2.87
전라남도,함평군,905.0,2.69
전라남도,영광군,1521.0,2.83
전라남도,장성군,1059.0,2.8
전라남도,완도군,2098.0,2.82
전라남도,진도군,1656.0,2.69
전라남도,신안군,1816.0,2.74
경상북도,포항시 남구,1284.0,2.73
경상북도,포항시 북구,1466.0,2.77
경상북도,경주시,1248.0,2.53
경상북도,김천시,1356.0,2.86
경상북도,안동시,1837.0,2.81
경상북도,구미시,1969.0,3.02
경상북도,영주시,2040.0,2.82
경상북도,영천시,1071.0,2.72
경상북도,상주시,1170.0,2.74
경상북도,문경시,1017.0,2.56
경상북도,경산시,1763.0,3.08
경상북도,의성군,1227.0,2.68
경상북도,청송군,1323.0,2.59
경상북도,영양군,2203.0,2.81
경상북도,영덕군,1060.0,2.45
경상북도,청도군,813.0,2.41
경상북도,고령군,753.0,2.69
경상북도,성주군,956.0,2.58
경상북도,칠곡군,704.0,2.72
경상북도,예천군,1651.0,2.81
경상북도,봉화군,1350.0,2.73
경상북도,울진군,1838.0,2.66
경상북도,울릉군,4253.0,3.25
경상남도,창원시 의창구,957.0,3.05
경상남도,창원시 성산구,1004.0,2.98
경상남도,창원시 마산합포구,1026.0,2.89
경상남도,창원시 마산회원구,1084.0,3.06
경상남도,창원시 진해구,1431.0,3.0
경상남도,진주시,2139.0,2.98
경상남도,통영시,1595.0,2.56
경상남도,사천시,1207.0,2.68
경상남도,김해시,1506.0,3.06
경상남도,밀양시,1169.0,2.63
경상남도,거제시,2416.0,2.73
경상남도,양산시,1243.0,3.02
경상남도,의령군,1096.0,2.72
경상남도,함안군,925.0,2.84
경상남도,창녕군,1042.0,2.62
경상남도,고성군,867.0,2.64
경상남도,남해군,1435.0,2.53
경상남도,하동군,1005.0,2.54
경상남도,산청군,990.0,2.49
경상남도,함양군,861.0,2.63
경상남도,거창군,1488.0,2.71
경상남도,합천군,1228.0,2.58
제주특별자치도,제주시,2496.0,3.15
제주특별자치도,서귀포시,1936.0,3.1
강원특별자치도,춘천시,2047.0,2.71
강원특별자치도,원주시,2029.0,2.83
강원특별자치도,강릉시,1744.0,2.56
강원특별자치도,동해시,1498.0,2.66
강원특별자치도,태백시,1741.0,2.79
강원특별자치도,속초시,1167.0,2.47
강원특별자치도,삼척시,1538.0,2.64
강원특별자치도,홍천군,948.0,2.47
강원특별자치도,횡성군,1012.0,2.55
강원특별자치도,영월군,1376.0,2.61
강원특별자치도,평창군,1343.0,2.61
강원특별자치도,정선군,1613.0,2.53
강원특별자치도,철원군,1629.0,2.73
강원특별자치도,화천군,1610.0,2.71
강원특별자치도,양구군,2083.0,2.91
강원특별자치도,인제군,1100.0,2.67
강원특별자치도,고성군,1208.0,2.5
강원특별자치도,양양군,1020.0,2.46
전북특별자치도,전주시 완산구,1342.0,2.76
전북특별자치도,전주시 덕진구,1353.0,2.92
전북특별자치도,군산시,1881.0,2.75
전북특별자치도,익산시,1778.0,2.99
전북특별자치도,정읍시,1431.0,2.79
전북특별자치도,남원시,1317.0,2.67
전북특별자치도,김제시,1026.0,2.81
전북특별자치도,완주군,864.0,2.68
전북특별자치도,진안군,911.0,2.55
전북특별자치도,무주군,876.0,2.41
전북특별자치도,장수군,1464.0,2.67
전북특별자치도,임실군,514.0,2.62
전북특별자치도,순창군,973.0,2.69
전북특별자치도,고창군,1157.0,2.66
전북특별자치도,부안군,1158.0,2.46
