시도명,관광지출액,전년도 관광지출액
서울특별시,4.0321581448E10,4.2229774003E10
부산광역시,8.664642636E9,8.593183595E9
대구광역시,5.269660481E9,5.338919563E9
인천광역시,7.417620495E9,7.599751411E9
광주광역시,2.819010419E9,2.821193908E9
대전광역시,4.311961279E9,4.321904733E9
울산광역시,2.08289195E9,2.003840578E9
세종특별자치시,4.15594004E8,4.26001274E8
경기도,3.3484798583E10,3.4253998237E10
충청북도,4.860076668E9,4.845962472E9
충청남도,4.811822074E9,4.838886952E9
전라남도,3.163507379E9,3.135960049E9
경상북도,4.799831157E9,4.797489751E9
경상남도,5.097386212E9,5.067132484E9
제주특별자치도,2.380915025E9,2.715542243E9
강원특별자치도,4.495674228E9,4.475039798E9
전북특별자치도,2.980564417E9,2.952282228E9
온라인 소비액,1.1751013109E10,
