시도명,관광지출액,전년도 관광지출액
서울특별시,5.1168079942E10,4.9443425101E10
부산광역시,1.0380436605E10,1.0204706422E10
대구광역시,6.472888104E9,6.273936818E9
인천광역시,9.123486257E9,8.795394779E9
광주광역시,3.421149077E9,3.349184704E9
대전광역시,5.221814309E9,5.107881715E9
울산광역시,2.420202608E9,2.398969118E9
세종특별자치시,5.1063398E8,5.11298767E8
경기도,4.1087994097E10,4.1895675913E10
충청북도,5.788094282E9,5.825745783E9
충청남도,5.777477193E9,5.705951044E9
전라남도,3.735929101E9,3.755104238E9
경상북도,5.728588299E9,5.764240702E9
경상남도,6.080783509E9,6.055535771E9
제주특별자치도,3.228735886E9,3.291322503E9
강원특별자치도,5.267115278E9,5.397215239E9
전북특별자치도,3.558099505E9,3.473144503E9
온라인 소비액,1.5445649186E10,
