기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202501,24946.0,22794.0,9.4,13285.0,12905.0,2.9
202502,21276.0,24052.0,-11.5,11734.0,12911.0,-9.1
202503,26725.0,26931.0,-0.8,13801.0,14462.0,-4.6
202504,22457.0,22584.0,-0.6,13138.0,13898.0,-5.5
202505,29453.0,24949.0,18.0,14863.0,14956.0,-0.6
202506,24835.0,23462.0,5.8,13418.0,14241.0,-5.8
202507,26559.0,24156.0,9.9,14174.0,13806.0,2.7
202508,27692.0,25961.0,6.7,14347.0,14622.0,-1.9
202509,25369.0,26161.0,-3.0,13660.0,14029.0,-2.6
202510,29732.0,25203.0,18.0,14952.0,14581.0,2.5
