시도명,방문자수,전년도 방문자수
서울특별시,5.2355815E8,0.0
부산광역시,1.35312184E8,0.0
대구광역시,9.4093976E7,0.0
인천광역시,1.55171373E8,0.0
광주광역시,5.9388329E7,0.0
대전광역시,7.5765151E7,0.0
울산광역시,4.405821E7,0.0
세종특별자치시,2.5096435E7,0.0
경기도,5.51485568E8,0.0
충청북도,1.02968936E8,0.0
충청남도,1.4712628E8,0.0
전라남도,1.12227241E8,0.0
경상북도,1.58388738E8,0.0
경상남도,1.40749788E8,0.0
제주특별자치도,4.9374745E7,0.0
강원특별자치도,1.2966815E8,0.0
전북특별자치도,8.6038127E7,0.0
